index,Package,Vulnerability,OS,Package_Version
103,redmine,CVE-2017-15575,debian:9,3.3.1-4+deb9u1
104,redmine,CVE-2017-15574,debian:9,3.3.1-4+deb9u1
105,redmine,CVE-2015-8537,debian:9,3.2.0-1
106,redmine,CVE-2012-2054,debian:9,1.3.2+dfsg1-1
107,redmine,CVE-2016-10515,debian:9,3.2.3-1
108,redmine,CVE-2012-0327,debian:9,1.3.2+dfsg1-1
109,redmine,CVE-2015-8473,debian:9,3.2.0-1
110,redmine,CVE-2017-15571,debian:9,3.3.1-4+deb9u1
111,redmine,CVE-2017-15576,debian:9,3.3.1-4+deb9u1
112,redmine,CVE-2017-15570,debian:9,3.3.1-4+deb9u1
113,redmine,CVE-2015-8477,debian:9,3.0~20140825-5
114,redmine,CVE-2009-4079,debian:9,0.9.0~svn2902-1
115,redmine,CVE-2009-4078,debian:9,0.9.0~svn2902-1
116,redmine,CVE-2009-4459,debian:9,0.9.1-1
117,redmine,CVE-2017-15569,debian:9,3.3.1-4+deb9u1
118,redmine,CVE-2017-18026,debian:9,3.3.1-4+deb9u1
119,redmine,CVE-2011-4927,debian:9,1.0.5-1
120,redmine,CVE-2017-15573,debian:9,3.3.1-4+deb9u1
121,redmine,CVE-2015-8346,debian:9,3.2.0-1
122,redmine,CVE-2017-15577,debian:9,3.3.1-4+deb9u1
123,redmine,CVE-2014-1985,debian:9,2.5.1-1
124,redmine,CVE-2017-15568,debian:9,3.3.1-4+deb9u1
125,redmine,CVE-2019-17427,debian:9,#MAXV#
126,redmine,CVE-2019-17427,debian:9,#MAXV#
127,redmine,CVE-2019-17427,debian:9,#MAXV#
128,redmine,CVE-2017-15570,ubuntu:17.10,3.3.1-4+deb9u1build0.17.10.1
129,redmine,CVE-2017-15572,ubuntu:17.10,3.3.1-4+deb9u1build0.17.10.1
130,redmine,CVE-2017-16804,ubuntu:17.10,3.3.1-4+deb9u1build0.17.10.1
131,redmine,CVE-2017-15576,ubuntu:17.10,3.3.1-4+deb9u1build0.17.10.1
132,redmine,CVE-2017-15575,ubuntu:17.10,3.3.1-4+deb9u1build0.17.10.1
133,redmine,CVE-2017-15569,ubuntu:17.10,3.3.1-4+deb9u1build0.17.10.1
134,redmine,CVE-2017-15574,ubuntu:17.10,3.3.1-4+deb9u1build0.17.10.1
135,redmine,CVE-2017-18026,ubuntu:17.10,3.3.1-4+deb9u1build0.17.10.1
136,redmine,CVE-2017-15577,ubuntu:17.10,3.3.1-4+deb9u1build0.17.10.1
137,redmine,CVE-2017-15568,ubuntu:17.10,3.3.1-4+deb9u1build0.17.10.1
138,redmine,CVE-2017-15573,ubuntu:17.10,3.3.1-4+deb9u1build0.17.10.1
139,redmine,CVE-2017-15571,ubuntu:17.10,3.3.1-4+deb9u1build0.17.10.1
140,redmine,CVE-2012-0327,ubuntu:12.10,1.3.2+dfsg1-1
141,redmine,CVE-2017-15568,ubuntu:16.04,#MAXV#
142,redmine,CVE-2017-18026,ubuntu:16.04,#MAXV#
143,redmine,CVE-2017-15572,ubuntu:16.04,#MAXV#
144,redmine,CVE-2017-15569,ubuntu:16.04,#MAXV#
145,redmine,CVE-2017-15575,ubuntu:16.04,#MAXV#
146,redmine,CVE-2017-15574,ubuntu:16.04,#MAXV#
147,redmine,CVE-2017-15576,ubuntu:16.04,#MAXV#
148,redmine,CVE-2017-15573,ubuntu:16.04,#MAXV#
149,redmine,CVE-2017-16804,ubuntu:16.04,#MAXV#
150,redmine,CVE-2017-15571,ubuntu:16.04,#MAXV#
151,redmine,CVE-2017-15577,ubuntu:16.04,#MAXV#
152,redmine,CVE-2016-10515,ubuntu:16.04,#MAXV#
153,redmine,CVE-2017-15570,ubuntu:16.04,#MAXV#
154,redmine,CVE-2012-0327,ubuntu:12.04,1.3.2+dfsg1-1
155,redmine,CVE-2012-0327,ubuntu:13.04,1.3.2+dfsg1-1
156,python,CVE-2017-1000158,alpine:v3.4,2.7.14-r0
157,python,CVE-2014-4616,alpine:v3.4,2.7.7-r0
158,python,ELSA-2016-1626,oracle:7,0:2.7.5-38.0.1.el7_2
159,python,ELSA-2016-2586,oracle:7,0:2.7.5-48.0.1.el7
160,python,ELSA-2019-2030,oracle:7,0:2.7.5-86.0.1.el7
161,python,ELSA-2015-2101,oracle:7,0:2.7.5-34.0.1.el7
162,python,ELSA-2018-3041,oracle:7,0:2.7.5-76.0.1.el7
163,python,ELSA-2019-1587,oracle:7,0:2.7.5-80.0.1.el7_6
164,python,ELSA-2019-0710,oracle:7,0:2.7.5-77.0.1.el7_6
165,python,ELSA-2017-1868,oracle:7,0:2.7.5-58.0.1.el7
166,python,ELSA-2018-2123,oracle:7,0:2.7.5-69.0.1.el7_5
167,python,ELSA-2019-1467,oracle:6,0:2.6.6-68.0.1.el6_10
168,python,ELSA-2016-1626,oracle:6,0:2.6.6-66.0.1.el6_8
169,python,ELSA-2013-1582,oracle:6,0:2.6.6-51.el6
170,python,ELSA-2012-0744,oracle:6,0:2.6.6-29.el6_2.2
