,Unnamed: 0,index,Package,Vulnerability,OS,Package_Version,OS_base_name,Date_Reported,Date_Fixed,Days_For_Fix
61,175,175,python,ELSA-2012-0745,oracle:5,0:2.4.3-46.el5_8.2,oracle,,,
62,176,176,python,ELSA-2011-0027,oracle:5,0:2.4.3-43.el5,oracle,,,
63,177,177,python,RHSA-2011:0027,centos:5,0:2.4.3-43.el5,centos,2010-05-25,,
64,178,178,python,RHSA-2009:1176,centos:5,0:2.4.3-24.el5_3.6,centos,2007-03-31,,
65,179,179,python,RHSA-2012:0745,centos:5,0:2.4.3-46.el5_8.2,centos,2012-03-28,,
66,180,180,python,RHSA-2011:0492,centos:5,0:2.4.3-44.el5,centos,2009-08-13,,
67,181,181,python,RHSA-2015:1330,centos:6,0:2.6.6-64.el6,centos,,,
68,182,182,python,RHSA-2016:1626,centos:6,0:2.6.6-66.el6_8,centos,2016-07-19,,
69,183,183,python,RHSA-2019:1467,centos:6,0:2.6.6-68.el6_10,centos,,,
70,184,184,python,RHSA-2011:0554,centos:6,0:2.6.6-20.el6,centos,2008-03-07,,
71,185,185,python,RHSA-2012:0744,centos:6,0:2.6.6-29.el6_2.2,centos,2012-03-28,,
72,186,186,python,RHSA-2013:1582,centos:6,0:2.6.6-51.el6,centos,2013-08-13,,
73,187,187,python,RHSA-2019:2030,centos:7,0:2.7.5-86.el7,centos,,,
74,188,188,python,RHSA-2015:2101,centos:7,0:2.7.5-34.el7,centos,,,
75,190,190,python,RHSA-2018:2123,centos:7,0:2.7.5-69.el7_5,centos,,,
76,191,191,python,RHSA-2019:0710,centos:7,0:2.7.5-77.el7_6,centos,,,
77,192,192,python,RHSA-2017:1868,centos:7,0:2.7.5-58.el7,centos,,,
78,193,193,python,RHSA-2019:1587,centos:7,0:2.7.5-80.el7_6,centos,,,
79,194,194,python,RHSA-2018:3041,centos:7,0:2.7.5-76.el7,centos,,,
80,195,195,python,RHSA-2016:2586,centos:7,0:2.7.5-48.el7,centos,2016-06-15,,
81,196,196,yum-utils,CVE-2018-10897,debian:unstable,1.1.31-2.2,debian,2018-07-30,2019-03-11,224.0
82,200,200,yum-utils,ELSA-2018-2285,oracle:7,0:1.1.31-46.0.1.el7_5,oracle,,,
83,201,201,yum-utils,ELSA-2018-2284,oracle:6,0:1.1.30-42.0.1.el6_10,oracle,,,
84,202,202,yum-utils,RHSA-2018:2284,centos:6,0:1.1.30-42.el6_10,centos,,,
85,203,203,yum-utils,RHSA-2018:2285,centos:7,0:1.1.31-46.el7_5,centos,,,
86,204,204,vim,CVE-2017-6350,alpine:v3.9,8.0.1521-r0,alpine,2017-03-03,,
87,205,205,vim,CVE-2017-5953,alpine:v3.9,8.0.0329-r0,alpine,2017-02-10,,
88,206,206,vim,CVE-2017-6349,alpine:v3.9,8.0.1521-r0,alpine,2017-03-03,,
89,207,207,vim,CVE-2019-12735,alpine:v3.9,8.1.1365,alpine,2019-05-22,,
90,208,208,vim,CVE-2016-1248,alpine:v3.9,8.0.0056-r0,alpine,2016-11-22,,
91,230,230,vim,CVE-2017-17087,debian:8,2:7.4.488-7+deb8u4,debian,2017-12-01,,
92,231,231,vim,CVE-2008-3076,debian:8,2:7.2.010-1,debian,2008-07-07,,
93,233,233,vim,CVE-2008-2712,debian:8,1:7.1.314-3,debian,2008-06-13,,
94,234,234,vim,CVE-2008-3074,debian:8,2:7.2.010-1,debian,2008-07-16,,
95,235,235,vim,CVE-2002-1377,debian:8,6.1.263-1,debian,2002-12-11,,
96,238,238,vim,CVE-2008-4101,debian:8,2:7.2.010-1,debian,2008-08-19,,
